project_id,weather_station,zipcode,address,city,state,year_built,retrofit_start_date,retrofit_end_date
7D9HZS,724830,95819,,Sacramento AP,CA,1950,,2/8/12
SGHDPS1526295705,722880,91104,,,CA,1905,,10/18/12
HQG4LV,724837,95603,,Auburn,CA,1988,,2/3/12
8OR4YT,724830,95628,,Fair Oaks,CA,1967,,2/16/12
EQEZKA,724830,95608,,Carmichael,CA,1961,,11/21/11
U4I0SA,724936,94561,,Oakley,CA,2007,,3/1/12
ULVPKA,724830,95608,,Carmichael,CA,1963,,3/2/12
AF9DQT,724839,95841,,Sacramento AP,CA,1957,,1/6/12
PPWVL1,724940,94941,,Mill Valley,CA,1991,,2/10/12
45KPVM,724830,95824,,Sacramento CO,CA,1965,,3/28/11
L8BOJK,724830,95608,,Carmichael,CA,1958,,3/9/12
YWVQRH,724940,94070,,San Carlos,CA,1950,,2/17/12
FYLPU8,724936,94523,,Pleasant Hill,CA,1952,,1/10/12
4GY9LD,745090,94087,,Sunnyvale,CA,1962,,6/9/11
LVCZ3A,724945,95030,,Saratoga,CA,1974,,2/15/12
054KH6,724930,94530,,El Cerrito,CA,1948,,2/16/12
8021729508,722904,92139,5711 RANCHO HILLS DR,San Diego,Ca Ca,1975,,3/29/12
SGVVSO,724830,95821,,Sacramento CO,CA,1959,,11/23/11
KBOMH0,745090,94062,,Redwood City,CA,1929,,2/24/12
7MSAMO,724830,95608,,Carmichael,CA,1959,,2/1/12
1MO425,724830,95762,,El Dorado Hills,CA,1995,,2/10/12
KM71DE,724830,95628,,Fair Oaks,CA,1985,,10/21/11
DWZN1H,724837,95603,,Auburn,CA,1990,,3/2/12
Y8WOA7,724830,95608,,Carmichael,CA,1960,,2/23/12
MT31P4,724936,94549,,Lafayette,CA,1947,,2/10/12
UFUTA5,724945,95070,,San Jose,CA,1950,,3/1/12
ZBSR8E,724940,94402,,San Mateo,CA,1946,,1/10/12
T56WG5,724940,94002,,Belmont,CA,1951,,3/19/12
FOJPIJ,724945,95129,,San Jose,CA,1964,,1/26/12
WP6ANZ,724830,95608,,Carmichael,CA,1960,,1/16/12
L4JSML,724830,95821,,Sacramento AP,CA,1965,,3/12/12
CHKXPG,724945,95124,,San Jose,CA,1953,,3/1/12
WC7CIU,724830,95864,,Sacramento CO,CA,1954,,3/13/12
VZ1RRX,724830,95667,,Placerville,CA,1978,,9/21/11
OW4PY5,724930,94707,,Berkeley,CA,1923,,1/11/12
TTX4IS,724839,95626,,Fair Oaks,CA,1987,,3/19/12
A3AVTH,724830,95608,,Carmichael,CA,1958,,3/20/12
SEHDPS1526388714,722899,91724,,,CA,1957,,8/21/12
SEHDPS1526388716,722886,91301,,,CA,1985,,6/15/12
SEHDPS1526388710,722976,91722,,,CA,1954,,8/8/12
SEHDPS1526388713,722899,91724,,,CA,1957,,8/9/12
FPX453,724957,94928,,Rohnert Park,CA,1977,,1/9/12
